,문서 번호,리뷰 데이터,Token,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
169,169,이성은 가둬두고 감성으로만 봐야하는 드라마,"['이성', '감성', '드라마']",0,0.5192,"[(0, 0.51922965), (1, 0.019230813), (2, 0.019230813), (3, 0.019230813), (4, 0.019230813), (5, 0.019230813), (6, 0.019230813), (7, 0.019230813), (8, 0.019230813), (9, 0.019230813), (10, 0.019230813), (11, 0.019230813), (12, 0.019230813), (13, 0.019230813), (14, 0.019230813), (15, 0.019230813), (16, 0.019230813), (17, 0.019230813), (18, 0.019230813), (19, 0.019230813), (20, 0.019230813), (21, 0.019230813), (22, 0.019230813), (23, 0.019230813), (24, 0.019230813), (25, 0.019230813)]"
170,170,"1화만 참으면 순식간에 밑도끝도없이 빠져드네..
제목 참..잘 지었다..!","['순식간', '제목']",18,0.5192,"[(0, 0.019230831), (1, 0.019230831), (2, 0.019230831), (3, 0.019230831), (4, 0.019230831), (5, 0.019230831), (6, 0.019230831), (7, 0.019230831), (8, 0.019230831), (9, 0.019230831), (10, 0.019230831), (11, 0.019230831), (12, 0.019230831), (13, 0.019230831), (14, 0.019230831), (15, 0.019230831), (16, 0.019230831), (17, 0.019230831), (18, 0.51922923), (19, 0.019230831), (20, 0.019230831), (21, 0.019230831), (22, 0.019230831), (23, 0.019230831), (24, 0.019230831), (25, 0.019230831)]"
171,171,"여주여배 원맨쇼, 원톱물.. 혼자 북치고 장구치고 거의 히어로급; 근데 이제 그게 처음부터 끝까지 오로지 남주에 걸맞을만한 여성상으로 거듭나는, 남자의 완벽한 보조자로서의 헌신적 여정일뿐이라는 게 싫은 포인트인듯.
일관적으로 남주남배만을 위한 스토리와 연출이라고 느껴졌고, 실제로도 그렇게 됨…^^
그냥 대체 왜???? 이런 드라마가 대흥행하는지 너무 미스테리라 무서울 지경임.
여자라면 응당 이래야 하지 않겠어?!의 향연.
이 드라마는 한녀를 위한 말도 안 되는 판타지물이라는 탈을 썼지만(응아니야) 사실은 비양심적일 정도로 한남의 판타지를 그려냈다고 본다.
남자를 위해 몇 번이고 목숨까지 버릴 여자, 미래에서 온 짝녀가 냅다 나를 껴안아주고 갑자기 하트뿅뿅의 눈으로 바라봐줌, 남자의 목숨줄부터 성장과 부와 명예 등등까지 모두 자기 일인양 옆도 아닌 살짝 사선 뒤에서 물심양면 보필하고 응원하는 여자, 남자를 위해 모든 망신살 그득한 짓도 해주며 가만히 있어도 나를 멋진 남자처럼 빛나게 만들어줄 여자, 엄마 이상으로 자신을 챙겨주고 책임져줄 여자, 집에 있는 보양식 냄비채 쌔벼서 나 먹으라고 갖다줄 여자, 그런데 평소에는 나이차이 극심해보일 정도로 쪼꼬맣고 귀엽게 옹알대는 여자(심지어 내용물은 까마득한 연상녀인데도), 그냥 나를 대깨빠순이처럼 좋아해줄 여자, 근데 남자인 나는 그걸 모르고 그냥 눈웃음이나 치고 싶다!! 걍 이런 내용으로밖에 안 읽힘.
선재라는 캐릭터도 대체 뭐하는 놈이고 뭔 생각을 하는 인물인지 모르겠음… 여주도 남주를 위한 장치, 남주도 여주를 위한 장치인 그냥 설정들의 나열 같음.. 근데 임솔은 배우의 미친 연기력으로 커버 쳐져서 눈가리고 아웅 해줄 수 있겠다 싶지만 남주는 여배우부터 제작진들까지 죄다 나서서 포장해줘도 끝까지 포장이 안 됨
무엇보다 드라마가 너무 구림 왜 이렇게 구릴까? 내용전개도 구리고 그림도 구림

갑자기 있어야 할 자리가 아닌데도 어디서든 나타나서 턱턱 붙잡아주는 장면들…
개연성 없이 그냥 주인공들과 주요주변인물들이 항상 가까이 살고 같은 곳에 지내고 서로 얽혀있고 서로 이어지고….
습관성 연애감정… 뭐 강호동의 러브레터도 아니고 왜 맨날 감초역할들 짝지어주는지? 이어줘야만 한다는 의무감이 있으신가봐?
내용상 큰 의미도 없는데 클로즈업해서 떡밥이라고 강조하는 건가 싶으면 그냥 저 미술템 구해오느라 힘들었으니까 좀 봐주라 이런 식,,, ㄱ-
습관성 슬로우 모션… 습관성 브금틀기…
눈코입 간신히 나오는 눈부시게 희뿌연 화면…
노란우산… 제발 좀 작작 ㅠㅠㅋㅋㅋㅋ 이건 또 뭔 클래식감성임..
그리고 타입캡슐 같이 좀 묻고 (편지도 그닥 감정적으로 와닿거나 임팩트 있는 문장도 아니고 너무 일반적이고 관념적인 문구…) 이것저것 쫌좀따리 한다고 해서 죽었을 사람이 안 죽고 살아있게 된다는 것도 진심………..개억지…. 무슨 애들 장난도 아니고…….
그냥 계속 장난치나?싶은 전개로 16부작이 이어짐….
다들 위기감제로 대가리꽃밭에 대체 뭔생각을 하는건지 모르겠다.
버섯송이친구 갑자기 엄마되고 치는 멘트들도 엥스럽고;;
그냥 매 시퀀스마다 대체 왜 이렇게 만들었지 싶은 부분이 툭툭 터져나오는게 매우 고통스러웠음

저 시대 연출을 하려면 제대로 하든가 하지 그냥 뭔 혼종겉핥기식으로, 무지성 샤방샤방 조명판&보정 오지는 표백제 화면에 담아놓으니까 넘… 이상함 걍…
동백꽃필무렵 영향을 쎄게 받은 건지 제2의 까불이 또 나오셨고•• 근데 너무 유치함
억지 긴장감•••💀

원작 설정은 안 그렇다던데 옆 사립학교에서 수영한다는 설정도, 바로 옆집 산다는 설정도, 수영 관두고 밴드를 한다는 것도, 근데 심지어 그대는선물입니다~~~~곡만 쓰고 초반에 슈스케무대 똥같은 전개로 같이 안 섰다가 나중에 쿨제이늑대가 홍보해준 마지막 무대에 갑자기 껴서는,, 그걸 본 기획사 대표에게 전체 캐스팅 돼서 데뷔한다는 것까지, 너무••• 안 좋은 뜻으로 그 시절 인소감성스러움…
갑자기 휙휙 튀어나오는 밑도 끝도 없는 개그씬들도 견디기 어려웠고, 16부작이라는게 믿기지 않을 정도로 인물이 적고 스케일이 작아서 뭔 말도 안 되는 사건들이 벌어지는데 그게 다 여주 혼자 타케미치처럼 북치고 장구치고 독백치고인 부분들임…
회귀물이라는 설정도 비양심적으로 좋을 대로만 써먹은 게 작중 타임슬립 규칙에 모순되는 것들이 공존했고 미래에 대한 직접적인 발언만 안 한다 뿐이지 말도 다 하더만; 회귀 거치면서 장애까지 고친다는 설정은 굳이 왜 필요했는지 의문이고..
나였으면 복층이라 장애인 사원 안 뽑는다는 회사 존나 빡치고 재수 없어서 있을 수 없는 일이지만 만약 다리 멀쩡해지고 나서도 절대 얼씬도 안 할 것 같은데…^^ 여주캐릭터 감정선도 선택들도 죄다 이해가 안 됨…
어떻게 안 좋았던 게 미래에서 좋아진다는 전개밖에 없고 좋았던 게 미래에서 안 좋게 변하는 건 절대 일어나지 않음..? 계속 억지스럽고 작위적
1화부터 너무 어이없는 부분들이 많아서 뇌를 빼고 시청함 그랬는데 뒤로 갈수록 더 뇌를 빼라고 요구하는 드라마는 또 처음이라 새로웠네
라디오전화에 대고 깽판치는 여주에게 -여기서부터 말 안 됨- 다 듣고서 -말안됨- 남주가 삶을 다시 살아갈 한마디를 띡 해주는 것도, 그거 들었다고 입덕해서 죽으려던 사람이 생의지를 갖고 살게 된다는 것도 너무나 작위적이었음.

너무 빡쳐서 강렬한 기억으로 남은 장면: 그 누가 아무리 초면에 모르는 사이여도 그렇지 키 좀 크다고해서 동갑내기 남자애에게 아저씨🩷 이럽니까? 역병도 아니고 도깨비버릇 못 버림? 아 짜증이 확 나네

아니 이 기묘하고 괴기스러운 느낌이 대체 어디서 기인한 거냐고;;; 이 과한 억텐이•••
사실은 많은 한녀들이 거대한 부양욕구를 품고 살았던 게 아니면 말이 안 됨…
현실의 임솔들이 대체 어떻게 만들어진거냐고;;
나도 차라리 같이 축제에 껴서 즐기고 싶지 (그러려고 드라마 틀었는데) 이런 개뚱땡분노왓챠평으로 살풀이를 하고 싶지않았는데ㅜㅜ 기이한 현상을 분석하는 마음으로 끝까지 다 봤는데도 의문이 풀리긴 커녕 이 세상이 더 낯설어지기만 함

아니
분명 나도 살았던 시대고 나도 했던 덕질인데 저 여학생이자 빠순이는 대체 어느 세계 평행선을 그린 거냐고;; 아 너무 구리고 쪽팔려ㅠㅠ
김혜윤 배우 남배랑 키차이 살려줄 용도로 캐스팅하는 사건도 작작 벌어지면 좋겠다.. 아니 뭔 진격의 거인도 아니고..^^;;; 그리고 관념적 평범한 ‘여주’ 취급도 좀 작작•• 우리 예서 혜영 성격 모르세요?? 적당히 해

아니
한드는 슬로우모션이랑 명랑여주망신살 압수하면 앞으로 어떻게 전개하실래요? 안일한 클리셰와 여배우의 X꼬쇼에 언제까지 기댈거냐고… 짜증난다 진심

존나 쪽팔리는 짓 서로 하고 있으면서 ‘그걸 모르는 나‘ ’그걸 모르는 너‘ 이 짓을 여주남주가 서로 쳐 하고 있고 가장 낭패인 그걸 보는 나
그냥 존나 끝까지 본 나","['여주', '여배', '원맨쇼', '혼자', '북치', '장구', '히어로', '처음', '남주', '여성', '남자', '완벽', '보조자', '헌신', '여정', '포인트', '일관', '스토리', '연출', '드라마', '흥행', '미스테리', '여자', '향연', '드라마', '판타지', '양심', '정도', '한남', '판타지', '남자', '목숨', '여자', '미래', '하트', '남자', '목숨', '성장', '명예', '사선', '물심', '양면', '보필', '응원', '여자', '남자', '망신살', '남자', '여자', '엄마', '이상', '자신', '여자', '양식', '냄비', '여자', '평소', '나이', '차이', '정도', '여자', '내용물', '연상녀', '순이', '여자', '남자', '눈웃음', '내용', '선재', '캐릭터', '생각', '인물', '여주', '남주', '장치', '주도', '여주', '장치', '설정', '나열', '배우', '연기력', '커버', '아웅', '여배우', '제작진', '포장', '포장', '드라마', '구림', '내용', '전개', '그림', '구림', '자리', '장면', '개연', '주인공', '주요', '주변', '인물', '습관', '연애', '감정', '강호동', '러브', '레터', '감초', '역할', '의무감', '내용', '의미', '클로즈업', '떡밥', '강조', '미술', '습관', '슬로우', '모션', '습관', '브금', '틀기', '눈코', '화면', '우산', '클래식', '감성', '타입', '캡슐', '편지', '감정', '임팩트', '문장', '일반', '관념', '문구', '이것저것', '따리', '사람', '진심', '장난', '전개', '부작', '위기감', '대가리', '꽃밭', '생각', '버섯', '송이', '친구', '엄마', '시퀀스', '부분', '고통', '시대', '연출', '혼종', '무지', '조명', '보정', '표백제', '화면', '이상', '영향', '까불이', '억지', '긴장감', '원작', '설정', '사립', '학교', '수영', '설정', '옆집', '설정', '수영', '밴드', '선물', '초반', '슈스케', '무대', '전개', '나중', '늑대', '홍보', '마지막', '무대', '기획사', '대표', '전체', '캐스팅', '데뷔', '시절', '인소', '감성', '개그', '부작', '정도', '인물', '스케일', '사건', '여주', '미치', '북치', '장구', '독백', '부분', '임회', '귀물', '설정', '양심', '작중', '타임', '슬립', '규칙', '모순', '공존', '미래', '직접', '발언', '회귀', '장애', '설정', '필요', '의문', '장애', '사원', '회사', '재수', '만약', '다리', '여주', '캐릭터', '감정선', '선택', '이해', '미래', '전개', '미래', '계속', '억지', '작위', '부분', '시청', '요구', '드라마', '처음', '라디오', '전화', '깽판', '여주', '남주', '한마디', '사람', '의지', '작위', '기억', '장면', '초면', '사이', '동갑내기', '남자', '아저씨', '역병', '도깨비', '버릇', '짜증', '괴기', '느낌', '기인', '거대', '부양', '욕구', '현실', '축제', '드라마', '분노', '살풀이', '현상', '분석', '마음', '의문', '세상', '시대', '여학생', '순이', '세계', '평행선', '배랑', '차이', '용도', '캐스팅', '사건', '진격', '거인', '관념', '여주', '취급', '혜영', '성격', '슬로우', '모션', '명랑', '여주', '망신살', '압수', '전개', '안일한', '클리셰', '여배우', '짜증', '난다', '진심', '여주', '남주', '낭패']",20,0.5367,"[(0, 0.029362438), (1, 0.076073475), (10, 0.055186994), (12, 0.072547704), (14, 0.09486585), (19, 0.07063416), (20, 0.53671294), (23, 0.060000874)]"
172,172,"미안합니다 저는 너무 상투적이고 오글거려서, 업었다 못 튀었습니다.","['미안', '상투']",10,0.5192,"[(0, 0.01923092), (1, 0.01923092), (2, 0.01923092), (3, 0.01923092), (4, 0.01923092), (5, 0.01923092), (6, 0.01923092), (7, 0.01923092), (8, 0.01923092), (9, 0.01923092), (10, 0.51922697), (11, 0.01923092), (12, 0.01923092), (13, 0.01923092), (14, 0.01923092), (15, 0.01923092), (16, 0.01923092), (17, 0.01923092), (18, 0.01923092), (19, 0.01923092), (20, 0.01923092), (21, 0.01923092), (22, 0.01923092), (23, 0.01923092), (24, 0.01923092), (25, 0.01923092)]"
173,173,"평범한 성덕이야기로 보일지 모르는데
은근 이야기를 잘 직조했다.
<동백꽃필무렵>이 생각날 듯한 스릴러 이야기가
주를 이루는데 좀 루즈할 상황에서 끝맺음을 낸다.

그리고 적재적소의 캐릭터와 상황까지
잘 이어지고, 그저 트렌디 드라마에서 떡밥 회수까지
잘 해낸다.

뭐 트렌디 드라마에서 큰 기대만 안 가지면 딱이다.
그렇다해도 마무리는 ‘성덕드라마’

그런데 볼수록 할머니 캐릭터를 잘 만들었다.
“오래오래 잘살아, 인자.
행복하게, 웃음서”","['성덕', '이야기', '은근', '이야기', '직조', '동백', '스릴러', '이야기', '상황', '적재적소', '캐릭터', '상황', '트렌디', '드라마', '떡밥', '회수', '트렌디', '드라마', '기대', '성덕', '드라마', '할머니', '캐릭터', '행복']",24,0.3999,"[(1, 0.25005943), (16, 0.28195664), (24, 0.39993566)]"
174,174,슈퍼스타k가 이젠 추억물이 될 줄이야…,"['슈퍼스타', '추억']",11,0.5192,"[(0, 0.019230882), (1, 0.019230882), (2, 0.019230882), (3, 0.019230882), (4, 0.019230882), (5, 0.019230882), (6, 0.019230882), (7, 0.019230882), (8, 0.019230882), (9, 0.019230882), (10, 0.019230882), (11, 0.5192279), (12, 0.019230882), (13, 0.019230882), (14, 0.019230882), (15, 0.019230882), (16, 0.019230882), (17, 0.019230882), (18, 0.019230882), (19, 0.019230882), (20, 0.019230882), (21, 0.019230882), (22, 0.019230882), (23, 0.019230882), (24, 0.019230882), (25, 0.019230882)]"
175,175,혜윤아 너 아니면 이 드라마 안 봤어,"['혜윤', '드라마']",24,0.5192,"[(0, 0.019230818), (1, 0.019230818), (2, 0.019230818), (3, 0.019230818), (4, 0.019230818), (5, 0.019230818), (6, 0.019230818), (7, 0.019230818), (8, 0.019230818), (9, 0.019230818), (10, 0.019230818), (11, 0.019230818), (12, 0.019230818), (13, 0.019230818), (14, 0.019230818), (15, 0.019230818), (16, 0.019230818), (17, 0.019230818), (18, 0.019230818), (19, 0.019230818), (20, 0.019230818), (21, 0.019230818), (22, 0.019230818), (23, 0.019230818), (24, 0.51922953), (25, 0.019230818)]"
176,176,"중후반부 사망ㅜ아쉽다 좀 더 애쓰면 수작이 될 수 있었을 걱 같은디
스토리가 부족하니까 자꾸 선재 아빠나 임금현주 커플 같은 되지도 않는 코미디를 끼워넣은 거 같은데 개노잼이고 루즈해짐.
16화말고 12화로 응축해서 만들었으면 좋았을 듯
주인공 운명서사나 선재 캐릭터는 좋았음. 선재가 먼저 짝사랑하고 15년동안 기억하고 있었단 설정이 제일 흥미 돋. 반면에 여주 캐릭터는 매력적인 설정이나 서사가 부족해서 아쉬웠다
또 중간중간 유치한 대사나 클리셰들이 개인적으론 조금.. 힘들었음
그리구 미래말하면 시간 멈추는 설정은 범인 앞에선 해당 안 되는 건가? 결말도 태성이가 얼레벌레 범인 잡다가 죽고(?) 걍 선재가 모든 걸 기억하고(?) 해피엔딩인 게 넘.. 허무하고 띠용스러움..
머 암튼 선재야~그대는 내 서헌물입니다~","['중후', '반부', '사망', '수작', '스토리', '부족', '선재', '아빠', '임금', '현주', '커플', '코미디', '응축', '주인공', '운명', '서사', '선재', '캐릭터', '선재', '짝사랑', '동안', '기억', '설정', '흥미', '반면', '여주', '캐릭터', '매력', '설정', '서사', '부족', '대사', '클리셰', '개인', '미래', '시간', '설정', '범인', '해당', '결말', '태성', '얼레', '벌레', '범인', '선재', '기억', '해피', '엔딩', '허무', '선재', '헌물']",16,0.9717,"[(16, 0.97171897)]"
177,177,"진짜! ~ 꼬이고 꼬인 남녀 관계의 오해와 치정과 싸움에 지칠 때쯤 나타난 청량! 그 자체 드라마~ 오직 둘 만이 전부고 상대를 위해 모든 걸 내던지는 내용과, 연출, 촬영, 배우, OST등 모든 것이 좋았다. 마음의 때가 모두 씻겨 내려가는 느낌","['남녀', '관계', '오해', '치정', '싸움', '청량', '자체', '드라마', '전부', '상대', '내용', '연출', '촬영', '배우', 'OST', '마음', '느낌']",3,0.8798,"[(3, 0.87980556)]"
178,178,"상견니 정주행 자극 드라마
팬들의 니즈를 겨냥한 결론인 건 알겠으나 초반의 임팩트를 잘 살리진 못했다. 좀 허무하고 스토리가 빈약하다고 느껴졌음","['상견', '주행', '자극', '드라마', '니즈', '겨냥', '결론', '초반', '임팩트', '허무', '스토리', '빈약']",8,0.4323,"[(1, 0.23708923), (8, 0.43232957), (12, 0.18314365)]"
179,179,"어디선가 본 것 같은 스토리
시대성으로 어쩔 수 없이 딸리는 항마력
클리셰 범벅인 연출과 전개

변우석 빼고는 딱히 이게 왜 … 중도 하차한 드라마는 근래들어 처음이다.","['스토리', '시대', '항마', '클리셰', '범벅', '연출', '전개', '변우석', '중도', '하차', '드라마', '근래', '처음']",8,0.7013,"[(8, 0.70129406), (24, 0.20639706)]"
180,180,오늘도 대중의 취향과 한걸음 멀어지다..,"['오늘', '대중', '취향', '걸음']",7,0.3462,"[(0, 0.012820605), (1, 0.012820605), (2, 0.012820605), (3, 0.012820605), (4, 0.012820605), (5, 0.012820605), (6, 0.012820605), (7, 0.34615323), (8, 0.012820605), (9, 0.012820605), (10, 0.012820605), (11, 0.012820605), (12, 0.012820605), (13, 0.012820605), (14, 0.012820605), (15, 0.012820605), (16, 0.012820605), (17, 0.012820605), (18, 0.012820605), (19, 0.012820605), (20, 0.012820605), (21, 0.012820605), (22, 0.012820605), (23, 0.34615225), (24, 0.012820605), (25, 0.012820605)]"
181,181,용두사미,['용두사미'],25,0.5192,"[(0, 0.019230867), (1, 0.019230867), (2, 0.019230867), (3, 0.019230867), (4, 0.019230867), (5, 0.019230867), (6, 0.019230867), (7, 0.019230867), (8, 0.019230867), (9, 0.019230867), (10, 0.019230867), (11, 0.019230867), (12, 0.019230867), (13, 0.019230867), (14, 0.019230867), (15, 0.019230867), (16, 0.019230867), (17, 0.019230867), (18, 0.019230867), (19, 0.019230867), (20, 0.019230867), (21, 0.019230867), (22, 0.019230867), (23, 0.019230867), (24, 0.019230867), (25, 0.5192283)]"
182,182,임솔 업고 튀어,['업고'],17,0.5192,"[(0, 0.019230863), (1, 0.019230863), (2, 0.019230863), (3, 0.019230863), (4, 0.019230863), (5, 0.019230863), (6, 0.019230863), (7, 0.019230863), (8, 0.019230863), (9, 0.019230863), (10, 0.019230863), (11, 0.019230863), (12, 0.019230863), (13, 0.019230863), (14, 0.019230863), (15, 0.019230863), (16, 0.019230863), (17, 0.5192284), (18, 0.019230863), (19, 0.019230863), (20, 0.019230863), (21, 0.019230863), (22, 0.019230863), (23, 0.019230863), (24, 0.019230863), (25, 0.019230863)]"
183,183,"(두번째 타임슬립 후) 눈떠보니 내가 꿈꾸던 영화사의 직원!!?? 이라니.. 솔직히 이게 반짝이는워터멜론 결말이랑 뭐가 다른지 모르겠음. 4회까지는 진짜 재밌고 그 뒤부터는 제발 다시 재밌어져라, 라고 생각하면서 봄.

그리고 작가는 왜 현주와 임금을 이렇게까지 버리는 캐릭터로 쓴 건지가 제일 의문임. 능력 없고 철도 안 든 임금은 네번의 시간여행 후에도 똑같음(개짜증) 심지어 현주가 임금을 좋아한 계기가 똥 지린 상황(최악!!!!!!!!!)을 수습해줘서라니... 이 드라마에서 두 주인공을 제외한 조연들은 그냥 npc에 그쳐서 그게 제일 별로였다.

현주 흰바지에 똥 지림, 대학선배 똥 생중계, 콘돔비, 선재아버지 변기물로 머리감기, 이 네개는 지금껏 내가 본 드라마 개그씬 중 최악 탑파이브에 들듯","['타임', '슬립', '영화사', '직원', '워터', '멜론', '결말', '생각', '작가', '현주', '임금', '캐릭터', '제일', '문임', '능력', '임금', '시간', '여행', '짜증', '현주', '임금', '계기', '지린', '상황', '최악', '수습', '드라마', '주인공', '제외', '조연', 'npc', '현주', '바지', '대학', '선배', '중계', '콘돔', '선재', '아버지', '변기', '머리', '감기', '드라마', '개그', '최악', '파이브']",16,0.9434,"[(16, 0.94343823)]"
184,184,"두 달 동안 그랬나봐 듣고 있다고 ...
김혜윤이 진짜 짱이다","['동안', '김혜윤']",15,0.5192,"[(0, 0.01923083), (1, 0.01923083), (2, 0.01923083), (3, 0.01923083), (4, 0.01923083), (5, 0.01923083), (6, 0.01923083), (7, 0.01923083), (8, 0.01923083), (9, 0.01923083), (10, 0.01923083), (11, 0.01923083), (12, 0.01923083), (13, 0.01923083), (14, 0.01923083), (15, 0.51922923), (16, 0.01923083), (17, 0.01923083), (18, 0.01923083), (19, 0.01923083), (20, 0.01923083), (21, 0.01923083), (22, 0.01923083), (23, 0.01923083), (24, 0.01923083), (25, 0.01923083)]"
185,185,"선재야 솔아 그렇게 항상 웃으며 함께 행복하길 바랄게💙💛
덕분에 두달동안 행복했다🥹","['선재', '행복', '덕분', '동안', '행복']",4,0.3462,"[(0, 0.012820576), (1, 0.012820576), (2, 0.012820576), (3, 0.012820576), (4, 0.34615412), (5, 0.012820576), (6, 0.012820576), (7, 0.012820576), (8, 0.012820576), (9, 0.012820576), (10, 0.012820576), (11, 0.012820576), (12, 0.012820576), (13, 0.012820576), (14, 0.012820576), (15, 0.34615207), (16, 0.012820576), (17, 0.012820576), (18, 0.012820576), (19, 0.012820576), (20, 0.012820576), (21, 0.012820576), (22, 0.012820576), (23, 0.012820576), (24, 0.012820576), (25, 0.012820576)]"
186,186,말도 안 되게 월요일만 기다렸ㄷr.. ☆,['월요일'],5,0.5192,"[(0, 0.019230833), (1, 0.019230833), (2, 0.019230833), (3, 0.019230833), (4, 0.019230833), (5, 0.5192292), (6, 0.019230833), (7, 0.019230833), (8, 0.019230833), (9, 0.019230833), (10, 0.019230833), (11, 0.019230833), (12, 0.019230833), (13, 0.019230833), (14, 0.019230833), (15, 0.019230833), (16, 0.019230833), (17, 0.019230833), (18, 0.019230833), (19, 0.019230833), (20, 0.019230833), (21, 0.019230833), (22, 0.019230833), (23, 0.019230833), (24, 0.019230833), (25, 0.019230833)]"
187,187,"그대는~~~~선물입니다~~~
하늘이~~ 내~~~~려준~~~~~","['선물', '하늘']",0,0.6795,"[(0, 0.6794859), (1, 0.012820563), (2, 0.012820563), (3, 0.012820563), (4, 0.012820563), (5, 0.012820563), (6, 0.012820563), (7, 0.012820563), (8, 0.012820563), (9, 0.012820563), (10, 0.012820563), (11, 0.012820563), (12, 0.012820563), (13, 0.012820563), (14, 0.012820563), (15, 0.012820563), (16, 0.012820563), (17, 0.012820563), (18, 0.012820563), (19, 0.012820563), (20, 0.012820563), (21, 0.012820563), (22, 0.012820563), (23, 0.012820563), (24, 0.012820563), (25, 0.012820563)]"
188,188,선업튀는 12부작인 걸로⭐️,['선업'],15,0.5192,"[(0, 0.019230785), (1, 0.019230785), (2, 0.019230785), (3, 0.019230785), (4, 0.019230785), (5, 0.019230785), (6, 0.019230785), (7, 0.019230785), (8, 0.019230785), (9, 0.019230785), (10, 0.019230785), (11, 0.019230785), (12, 0.019230785), (13, 0.019230785), (14, 0.019230785), (15, 0.51923037), (16, 0.019230785), (17, 0.019230785), (18, 0.019230785), (19, 0.019230785), (20, 0.019230785), (21, 0.019230785), (22, 0.019230785), (23, 0.019230785), (24, 0.019230785), (25, 0.019230785)]"
189,189,시간을 초월해가며 선재를 업고 튀고야 마는 솔의 청춘 로맨스 서사,"['시간', '초월', '선재', '청춘', '로맨스']",9,0.6795,"[(0, 0.012820552), (1, 0.012820552), (2, 0.012820552), (3, 0.012820552), (4, 0.012820552), (5, 0.012820552), (6, 0.012820552), (7, 0.012820552), (8, 0.012820552), (9, 0.67948616), (10, 0.012820552), (11, 0.012820552), (12, 0.012820552), (13, 0.012820552), (14, 0.012820552), (15, 0.012820552), (16, 0.012820552), (17, 0.012820552), (18, 0.012820552), (19, 0.012820552), (20, 0.012820552), (21, 0.012820552), (22, 0.012820552), (23, 0.012820552), (24, 0.012820552), (25, 0.012820552)]"
190,190,"1회차 타임슬립까진 명드 중의 명드라고 생각했다
사전제작이었으면 편집할 시간이 충분하지 않나..?
스토리 진행은 안하고 그저 남자주인공 팬들을 위한 서비스컷의 나열같았다

초반에 받았던 신선한 충격과 08년도 향수 때문에 드라마가 산으로 가는데도 아닐거야..아닐거야.. 하면서 마지막까지 봤는데 배신감이 너무 크다

그래도 고등학교 시절까진 진짜 명드중의 명드라 3번 돌려봐서 3점...","['타임', '슬립', '드라고', '생각', '사전', '제작', '편집', '시간', '스토리', '진행', '남자', '주인공', '서비스', '나열', '초반', '충격', '향수', '드라마', '마지막', '배신감', '고등학교', '시절', '드라']",14,0.9038,"[(14, 0.90384465)]"
191,191,객관적 평가 안됨 ^^ 하… 과분하게 행복했다,"['평가', '행복']",22,0.5192,"[(0, 0.019230917), (1, 0.019230917), (2, 0.019230917), (3, 0.019230917), (4, 0.019230917), (5, 0.019230917), (6, 0.019230917), (7, 0.019230917), (8, 0.019230917), (9, 0.019230917), (10, 0.019230917), (11, 0.019230917), (12, 0.019230917), (13, 0.019230917), (14, 0.019230917), (15, 0.019230917), (16, 0.019230917), (17, 0.019230917), (18, 0.019230917), (19, 0.019230917), (20, 0.019230917), (21, 0.019230917), (22, 0.519227), (23, 0.019230917), (24, 0.019230917), (25, 0.019230917)]"
192,192,요즘 드라마들 뒤로 갈수록 힘 빠지는 거 왜 이럼…..,"['요즘', '드라마']",18,0.5192,"[(0, 0.019230926), (1, 0.019230926), (2, 0.019230926), (3, 0.019230926), (4, 0.019230926), (5, 0.019230926), (6, 0.019230926), (7, 0.019230926), (8, 0.019230926), (9, 0.019230926), (10, 0.019230926), (11, 0.019230926), (12, 0.019230926), (13, 0.019230926), (14, 0.019230926), (15, 0.019230926), (16, 0.019230926), (17, 0.019230926), (18, 0.5192268), (19, 0.019230926), (20, 0.019230926), (21, 0.019230926), (22, 0.019230926), (23, 0.019230926), (24, 0.019230926), (25, 0.019230926)]"
193,193,"1. K드라마는 K줌마를 설레게 해,,, 대한민국 최고의 복지로세
2. 거기다 90년 백말띠 겨냥해서 나 저격당함 ㅠㅠㅠㅠㅠ
3. 수영하는 선재보니 피겨하는 성훈이 생각나는데 공감해줄 엔하이픈팬 어디 없나 🥲
4. 버스정류장에서 머리 찰랑거리며 뛰는 변우석 최고셔서 백만스무번 돌려봤다🫶","['드라마', '대한민국', '최고', '복지', '말띠', '겨냥', '저격', '수영', '선재', '피겨', '성훈', '공감', '하이픈', '버스', '정류장', '머리', '변우석', '최고']",7,0.4341,"[(3, 0.29120645), (7, 0.43406913), (23, 0.14834912)]"
194,194,혜윤씨는 남주를 정말 빛나게 만드는 멋진 배우다,"['혜윤', '남주']",24,0.6795,"[(0, 0.012820554), (1, 0.012820554), (2, 0.012820554), (3, 0.012820554), (4, 0.012820554), (5, 0.012820554), (6, 0.012820554), (7, 0.012820554), (8, 0.012820554), (9, 0.012820554), (10, 0.012820554), (11, 0.012820554), (12, 0.012820554), (13, 0.012820554), (14, 0.012820554), (15, 0.012820554), (16, 0.012820554), (17, 0.012820554), (18, 0.012820554), (19, 0.012820554), (20, 0.012820554), (21, 0.012820554), (22, 0.012820554), (23, 0.012820554), (24, 0.67948616), (25, 0.012820554)]"
195,195,제일 싫어하는 억지연출각본인데 임솔 류선재가 그걸 이겨..,"['억지', '연출', '각본', '선재']",1,0.7596,"[(1, 0.75961447)]"
